source_row,sheet_bonus_outcome,sheet_mechanical_result,sheet_entry,sheet_species_name,buddy_bonus_name,effect_id,target_type,target_value,matched_slug,matched_name,species_file,match_method,match_score,needs_review
2,All Capture Chance,X% capture chance against any Waifumon,Arcade Succubus (Free Play),Arcade Succubus,Free Play,capture_chance,any,,arcade_succubus,Arcade Succubus,content/species/starter.json,exact_name,1.0,False
2,All Capture Chance,X% capture chance against any Waifumon,Android Assassin (Clean Kill),Android Assassin,Clean Kill,capture_chance,any,,android_assassin,Android Assassin,content/species/starter.json,exact_name,1.0,False
3,Race Capture Chance,X% capture chance against (RACE),Witchy Mechanic (Big Wrench (vs Android)),Witchy Mechanic,Big Wrench,capture_chance,race,android,witchy_mechanic,Witchy Mechanic,content/species/starter.json,exact_name,1.0,False
3,Race Capture Chance,X% capture chance against (RACE),Cber Lilith Prime (Hijack (vs Android)),Cber Lilith Prime,Hijack,capture_chance,race,android,cyber_lilith_prime,Cyber Lilith Prime,content/species/starter.json,fuzzy,0.971,False
3,Race Capture Chance,X% capture chance against (RACE),Latex Paladin (Oathbound (vs demons)),Latex Paladin,Oathbound,capture_chance,race,demon,latex_paladin,Latex Paladin,content/species/starter.json,exact_name,1.0,False
3,Race Capture Chance,X% capture chance against (RACE),Feral Android (Broken Protocol (vs Android)),Feral Android,Broken Protocol,capture_chance,race,android,feral_android,Feral Android,content/species/starter.json,exact_name,1.0,False
4,Affinity Capture Chance,X% capture chance against (AFFINITY) Waifumon,Abssyal Shrine Oracle (Twisted Blessing (vs Primal?)),Abssyal Shrine Oracle,Twisted Blessing,capture_chance,affinity,primal,abyssal_shrine_oracle,Abyssal Shrine Oracle,content/species/starter.json,user_confirmed_typo,1.0,False
4,Affinity Capture Chance,X% capture chance against (AFFINITY) Waifumon,Queen of Velvet Chains (Willing Chains (vs Dom)),Queen of Velvet Chains,Willing Chains,capture_chance,affinity,dominant,queen_of_velvet_chains,Queen of Velvet Chains,content/species/starter.json,exact_name,1.0,False
5,Rarity Capture Chance,X% capture chance against SSR+,Dark Elf Royal (Royal Favor),Dark Elf Royal,Royal Favor,capture_chance,rarity_min,SSR,darkelf_royal,Darkelf Royal,content/species/starter.json,fuzzy,0.963,False
5,Rarity Capture Chance,X% capture chance against SSR+,Archangel Inquisitor (Holy Audit),Archangel Inquisitor,Holy Audit,capture_chance,rarity_min,SSR,archangel_inquisitor,Archangel Inquisitor,content/species/starter.json,exact_name,1.0,False
6,Low-Rarity Capture Chance,X% capture chance against SR and below,Beachside Siren (Luring Song),Beachside Siren,Luring Song,capture_chance,rarity_max,SR,beachside_siren,Beachside Siren,content/species/starter.json,exact_name,1.0,False
6,Low-Rarity Capture Chance,X% capture chance against SR and below,Cabaret Star (Encore Crowd),Cabaret Star,Encore Crowd,capture_chance,rarity_max,SR,cabaret_star,Cabaret Star,content/species/starter.json,exact_name,1.0,False
6,Low-Rarity Capture Chance,X% capture chance against SR and below,Neon School Rebel (After Bell),Neon School Rebel,After Bell,capture_chance,rarity_max,SR,neon_school_rebel,Neon School Rebel,content/species/starter.json,exact_name,1.0,False
